glycan,Species,Genus,Family,Order,Class,Phylum,Kingdom,Domain,ref,glytoucan_id,glycan_type,disease_association,disease_id,disease_sample,disease_direction,disease_ref,disease_species,tissue_sample,tissue_id,tissue_ref,tissue_species,Composition,Structure_Type
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,"['Cricetulus_griseus', 'Homo_sapiens', 'Mus_musculus', 'Ovis_aries', 'Rattus_norvegicus']","['Cricetulus', 'Homo', 'Mus', 'Ovis', 'Rattus']","['Cricetidae', 'Hominidae', 'Muridae', 'Bovidae', 'Muridae']","['Rodentia', 'Primates', 'Rodentia', 'Artiodactyla', 'Rodentia']","['Mammalia', 'Mammalia', 'Mammalia', 'Mammalia', 'Mammalia']","['Chordata', 'Chordata', 'Chordata', 'Chordata', 'Chordata']","['Animalia', 'Animalia', 'Animalia', 'Animalia', 'Animalia']","['Eukarya', 'Eukarya', 'Eukarya', 'Eukarya', 'Eukarya']","['', '', 'https://unicarb-dr.glycosmos.org/references/364', 'https://unicarb-dr.glycosmos.org/references/352', 'https://unicarb-dr.glycosmos.org/references/351']",G27170BX,N,[],[],[],[],[],[],"['2A3_cell_line', 'AML_193_cell_line', 'Cal-27_cell_line', 'EOL_1_cell_line', 'FaDu_cell_line', 'HEL_cell_line', 'KG_1a_cell_line', 'Kasumi_1_cell_line', 'ME_1_cell_line', 'ML_1_cell_line', 'MOLM_13_cell_line', 'M_07e_cell_line', 'NB_4_cell_line', 'OCI_AML2_cell_line', 'SCC-9_cell_line', 'SCC_25_cell_line', 'TF_1_cell_line', 'THP_1_cell_line', 'U_937_cell_line', 'VU-147T_cell_line', 'blood_serum', 'heart', 'heart', 'muscle_of_leg', 'ovary']","['cellosaurus:CVCL_0D71', 'cellosaurus:CVCL_1071', 'cellosaurus:CVCL_1107', 'cellosaurus:CVCL_0258', 'cellosaurus:CVCL_1218', 'cellosaurus:CVCL_0001', 'cellosaurus:CVCL_1824', 'cellosaurus:CVCL_0589', 'cellosaurus:CVCL_L911', 'cellosaurus:CVCL_IQ95', 'cellosaurus:CVCL_2119', 'cellosaurus:CVCL_2106', 'cellosaurus:CVCL_0005', 'cellosaurus:CVCL_1619', 'cellosaurus:CVCL_1685', 'cellosaurus:CVCL_1682', 'cellosaurus:CVCL_0559', 'cellosaurus:CVCL_0006', 'cellosaurus:CVCL_0007', 'cellosaurus:CVCL_L895', 'UBERON:0001977', 'UBERON:0000948', 'UBERON:0000948', 'UBERON:0001383', 'UBERON:0000992']","['https://pubmed.ncbi.nlm.nih.gov/36289103/', 'https://pubmed.ncbi.nlm.nih.gov/34831278/', 'https://pubmed.ncbi.nlm.nih.gov/36289103/', 'https://pubmed.ncbi.nlm.nih.gov/34831278/', 'https://pubmed.ncbi.nlm.nih.gov/36289103/', 'https://pubmed.ncbi.nlm.nih.gov/34831278/', 'https://pubmed.ncbi.nlm.nih.gov/34831278/', 'https://pubmed.ncbi.nlm.nih.gov/34831278/', 'https://pubmed.ncbi.nlm.nih.gov/34831278/', 'https://pubmed.ncbi.nlm.nih.gov/34831278/', 'https://pubmed.ncbi.nlm.nih.gov/34831278/', 'https://pubmed.ncbi.nlm.nih.gov/34831278/', 'https://pubmed.ncbi.nlm.nih.gov/34831278/', 'https://pubmed.ncbi.nlm.nih.gov/34831278/', 'https://pubmed.ncbi.nlm.nih.gov/36289103/', 'https://pubmed.ncbi.nlm.nih.gov/36289103/', 'https://pubmed.ncbi.nlm.nih.gov/34831278/', 'https://pubmed.ncbi.nlm.nih.gov/34831278/', 'https://pubmed.ncbi.nlm.nih.gov/34831278/', 'https://pubmed.ncbi.nlm.nih.gov/36289103/', 'https://doi.org/10.1002/elps.11501401205', 'https://unicarb-dr.glycosmos.org/references/351', 'https://unicarb-dr.glycosmos.org/references/352', 'https://unicarb-dr.glycosmos.org/references/364', 'https://doi.org/10.1021/bi00223a015']","['Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Rattus_norvegicus', 'Ovis_aries', 'Mus_musculus', 'Homo_sapiens']","{'Neu5Ac': 1, 'Hex': 5, 'HexNAc': 4}",Complex_Gal
Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,"['Bos_taurus', 'Ginglymostoma_cirratum', 'Mus_musculus', 'Sus_scrofa']","['Bos', 'Ginglymostoma', 'Mus', 'Sus']","['Bovidae', 'Ginglymostomatidae', 'Muridae', 'Suidae']","['Artiodactyla', 'Orectolobiformes', 'Rodentia', 'Artiodactyla']","['Mammalia', 'Chondrichthyes', 'Mammalia', 'Mammalia']","['Chordata', 'Chordata', 'Chordata', 'Chordata']","['Animalia', 'Animalia', 'Animalia', 'Animalia']","['Eukarya', 'Eukarya', 'Eukarya', 'Eukarya']","['', 'https://pubmed.ncbi.nlm.nih.gov/19156518/', 'https://academic.oup.com/glycob/article/29/9/625/5506440', '']",G64860JV,N,[],[],[],[],[],[],[],[],[],[],"{'Hex': 6, 'HexNAc': 4}",Complex_Gal
Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,"['Notamacropus_eugenii', 'Homo_sapiens', 'Homo_sapiens']","['Notamacropus', 'Homo', 'Homo']","['Macropodidae', 'Hominidae', 'Hominidae']","['Diprotodontia', 'Primates', 'Primates']","['Mammalia', 'Mammalia', 'Mammalia']","['Chordata', 'Chordata', 'Chordata']","['Animalia', 'Animalia', 'Animalia']","['Eukarya', 'Eukarya', 'Eukarya']","['https://pubmed.ncbi.nlm.nih.gov/23053637/', 'https://pubmed.ncbi.nlm.nih.gov/33650863/', 'https://pubmed.ncbi.nlm.nih.gov/32737218/']",,N,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['urine', 'urine']","['UBERON:0001088', 'UBERON:0001088']","['https://pubmed.ncbi.nlm.nih.gov/33650863/', 'https://pubmed.ncbi.nlm.nih.gov/32737218/']","['Homo_sapiens', 'Homo_sapiens']","{'Neu5Ac': 1, 'Hex': 5, 'HexNAc': 4}",Complex_Gal
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Homo_sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],[''],G71835BN,N,[],[],[],[],[],[],['plasma'],['ENVO:01000798'],['https://pubmed.ncbi.nlm.nih.gov/1577715/'],['Homo_sapiens'],"{'dHex': 1, 'Hex': 5, 'HexNAc': 4}",Complex_Gal
Fuc(a1-2)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Homo_sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],[''],G08113XU,N,[],[],[],[],[],[],['plasma'],['ENVO:01000798'],['https://pubmed.ncbi.nlm.nih.gov/1577715/'],['Homo_sapiens'],"{'dHex': 1, 'Hex': 6, 'HexNAc': 4}",Complex_Gal
Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Homo_sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],[''],G82320NZ,N,[],[],[],[],[],[],[],[],[],[],"{'Hex': 6, 'HexNAc': 5}",Complex_Gal
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Mus_musculus'],['Mus'],['Muridae'],['Rodentia'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],['https://unicarb-dr.glycosmos.org/references/364'],,N,[],[],[],[],[],[],['muscle_of_leg'],['UBERON:0001383'],['https://unicarb-dr.glycosmos.org/references/364'],['Mus_musculus'],"{'Neu5Gc': 1, 'Hex': 5, 'HexNAc': 4}",Complex_Gal
Neu5Gc(a2-?)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Mus_musculus'],['Mus'],['Muridae'],['Rodentia'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/32123198/'],,N,['Toxoplasma_gondii_infection'],['DOID:9965'],['serum'],['up'],['https://pubmed.ncbi.nlm.nih.gov/32123198/'],['Mus_musculus'],[],[],[],[],"{'Neu5Gc': 1, 'Hex': 5, 'HexNAc': 4}",Complex_Gal
Neu5Ac(a2-?)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Homo_sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],['https://pubmed.ncbi.nlm.nih.gov/32737218/'],,N,[''],[''],[''],[''],[''],[''],['urine'],['UBERON:0001088'],['https://pubmed.ncbi.nlm.nih.gov/32737218/'],['Homo_sapiens'],"{'Neu5Ac': 1, 'Hex': 6, 'HexNAc': 5}",Complex_Gal
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,"['Bos_taurus', 'Camelus_dromedarius', 'Canis_familiaris', 'Capra_hircus', 'Capra_hircus', 'Cavia_porcellus', 'Cricetulus_griseus', 'Danio_rerio', 'Equus_caballus', 'Equus_caballus', 'Felis_catus', 'Gallus_gallus', 'Homo_sapiens', 'Homo_sapiens', 'Macaca_fuscata', 'Macaca_mulatta', 'Macaca_mulatta', 'Mesocricetus_auratus', 'Mus_musculus', 'Mustela_furo', 'Oryctolagus_cuniculus', 'Ovis_aries', 'Rattus_norvegicus', 'Sus_scrofa', 'Tetronarce_californica', 'undetermined', 'unidentified_influenza_virus', 'Homo_sapiens']","['Bos', 'Camelus', 'Canis', 'Capra', 'Capra', 'Cavia', 'Cricetulus', 'Danio', 'Equus', 'Equus', 'Felis', 'Gallus', 'Homo', 'Homo', 'Macaca', 'Macaca', 'Macaca', 'Mesocricetus', 'Mus', 'Mustela', 'Oryctolagus', 'Ovis', 'Rattus', 'Sus', 'Tetronarce', 'undetermined', 'undetermined', 'Homo']","['Bovidae', 'Camelidae', 'Canidae', 'Bovidae', 'Bovidae', 'Caviidae', 'Cricetidae', 'Cyprinidae', 'Equidae', 'Equidae', 'Felidae', 'Phasianidae', 'Hominidae', 'Hominidae', 'Cercopithecidae', 'Cercopithecidae', 'Cercopithecidae', 'Cricetidae', 'Muridae', 'Mustelidae', 'Leporidae', 'Bovidae', 'Muridae', 'Suidae', 'Torpedinidae', 'undetermined', 'Orthomyxoviridae', 'Hominidae']","['Artiodactyla', 'Artiodactyla', 'Carnivora', 'Artiodactyla', 'Artiodactyla', 'Rodentia', 'Rodentia', 'Cypriniformes', 'Perissodactyla', 'Perissodactyla', 'Carnivora', 'Galliformes', 'Primates', 'Primates', 'Primates', 'Primates', 'Primates', 'Rodentia', 'Rodentia', 'Carnivora', 'Lagomorpha', 'Artiodactyla', 'Rodentia', 'Artiodactyla', 'Torpediniformes', 'undetermined', 'Articulavirales', 'Primates']","['Mammalia', 'Mammalia', 'Mammalia', 'Mammalia', 'Mammalia', 'Mammalia', 'Mammalia', 'Actinopterygii', 'Mammalia', 'Mammalia', 'Mammalia', 'Aves', 'Mammalia', 'Mammalia', 'Mammalia', 'Mammalia', 'Mammalia', 'Mammalia', 'Mammalia', 'Mammalia', 'Mammalia', 'Mammalia', 'Mammalia', 'Mammalia', 'Chondrichthyes', 'Mammalia', 'Insthoviricetes', 'Mammalia']","['Chordata', 'Chordata', 'Chordata', 'Chordata', 'Chordata', 'Chordata', 'Chordata', 'Chordata', 'Chordata', 'Chordata', 'Chordata', 'Chordata', 'Chordata', 'Chordata', 'Chordata', 'Chordata', 'Chordata', 'Chordata', 'Chordata', 'Chordata', 'Chordata', 'Chordata', 'Chordata', 'Chordata', 'Chordata', 'Chordata', 'Negarnaviricota', 'Chordata']","['Animalia', 'Animalia', 'Animalia', 'Animalia', 'Animalia', 'Animalia', 'Animalia', 'Animalia', 'Animalia', 'Animalia', 'Animalia', 'Animalia', 'Animalia', 'Animalia', 'Animalia', 'Animalia', 'Animalia', 'Animalia', 'Animalia', 'Animalia', 'Animalia', 'Animalia', 'Animalia', 'Animalia', 'Animalia', 'Animalia', 'Riboviria', 'Animalia']","['Eukarya', 'Eukarya', 'Eukarya', 'Eukarya', 'Eukarya', 'Eukarya', 'Eukarya', 'Eukarya', 'Eukarya', 'Eukarya', 'Eukarya', 'Eukarya', 'Eukarya', 'Eukarya', 'Eukarya', 'Eukarya', 'Eukarya', 'Eukarya', 'Eukarya', 'Eukarya', 'Eukarya', 'Eukarya', 'Eukarya', 'Eukarya', 'Eukarya', 'Eukarya', 'Virus', 'Eukarya']","['', 'https://pubmed.ncbi.nlm.nih.gov/27428249/', '', 'https://pubmed.ncbi.nlm.nih.gov/31985220/', '', '', '', 'https://pubmed.ncbi.nlm.nih.gov/36509839/', '', '', '', '', '', 'https://pubmed.ncbi.nlm.nih.gov/38171687/', '', 'https://pubmed.ncbi.nlm.nih.gov/36131114/', '', '', '', 'https://pubmed.ncbi.nlm.nih.gov/25135641/', 'https://pubmed.ncbi.nlm.nih.gov/4074713/', '', '', '', 'https://pubmed.ncbi.nlm.nih.gov/1633814/', '', '', 'https://pubmed.ncbi.nlm.nih.gov/37005422/']",G29024OJ,N,"['chronic_low_back_pain', 'colorectal_cancer', 'colorectal_cancer', 'diabetic_kidney_disease', 'esophageal_cancer', 'filarial_elephantiasis', 'multiple_sclerosis', 'type_1_diabetes_mellitus', '']","['SYMP:0000633', 'DOID:9256', 'DOID:9256', 'DOID:11503', 'DOID:5041', 'DOID:12211', 'DOID:2377', 'DOID:9744', '']","['plasma', 'tumor', 'tumor_late_stage', 'urine', 'saliva', 'serum', 'plasma', 'serum', '']","['down', 'up', 'up', 'up', 'up', 'up', 'down', 'down', '']","['https://pubmed.ncbi.nlm.nih.gov/29981899/', 'https://doi.org/10.1093/glycob/cwv042', 'https://pubmed.ncbi.nlm.nih.gov/26085185/', 'https://pubmed.ncbi.nlm.nih.gov/35934376/', 'https://www.frontiersin.org/articles/10.3389/fchem.2021.637730/full', 'https://pubmed.ncbi.nlm.nih.gov/36131114/', 'https://www.mdpi.com/2227-9059/8/10/410/htm', 'https://pubmed.ncbi.nlm.nih.gov/35622127/', '']","['Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Macaca_mulatta', 'Homo_sapiens', 'Homo_sapiens', '']","['2A3_cell_line', 'Cal-27_cell_line', 'HEL92_1_7_cell_line', 'HEL_cell_line', 'ML_1_cell_line', 'MV4_11_cell_line', 'NB_4_cell_line', 'NS0_cell_line', 'PLB_985_cell_line', 'SCC_25_cell_line', 'TF_1_cell_line', 'VU-147T_cell_line', 'blood', 'blood_serum', 'blood_serum', 'blood_serum', 'colon', 'heart', 'heart', 'iPS1A_cell_line', 'iPS2A_cell_line', 'meconium', 'milk', 'ovary', 'pancreas', 'trachea', 'blood_serum']","['cellosaurus:CVCL_0D71', 'cellosaurus:CVCL_1107', 'cellosaurus:CVCL_2481', 'cellosaurus:CVCL_0001', 'cellosaurus:CVCL_IQ95', 'cellosaurus:CVCL_0064', 'cellosaurus:CVCL_0005', 'cellosaurus:CVCL_3940', 'cellosaurus:CVCL_2162', 'cellosaurus:CVCL_1682', 'cellosaurus:CVCL_0559', 'cellosaurus:CVCL_L895', 'UBERON:0000178', 'UBERON:0001977', 'UBERON:0001977', 'UBERON:0001977', 'UBERON:0001155', 'UBERON:0000948', 'UBERON:0000948', '', '', 'UBERON:0007109', 'UBERON:0001913', 'UBERON:0000992', 'UBERON:0001264', 'UBERON:0003126', 'UBERON:0001977']","['https://pubmed.ncbi.nlm.nih.gov/36289103/', 'https://pubmed.ncbi.nlm.nih.gov/36289103/', 'https://pubmed.ncbi.nlm.nih.gov/34831278/', 'https://pubmed.ncbi.nlm.nih.gov/34831278/', 'https://pubmed.ncbi.nlm.nih.gov/34831278/', 'https://pubmed.ncbi.nlm.nih.gov/34831278/', 'https://pubmed.ncbi.nlm.nih.gov/34831278/', 'https://pubmed.ncbi.nlm.nih.gov/36068283/', 'https://pubmed.ncbi.nlm.nih.gov/34831278/', 'https://pubmed.ncbi.nlm.nih.gov/36289103/', 'https://pubmed.ncbi.nlm.nih.gov/23345451/', 'https://pubmed.ncbi.nlm.nih.gov/36289103/', 'https://www.mdpi.com/2077-0383/10/3/516', 'https://doi.org/10.1093/oxfordjournals.jbchem.a123807', 'https://pubmed.ncbi.nlm.nih.gov/27428249/', 'https://pubmed.ncbi.nlm.nih.gov/30315103/', 'https://pubmed.ncbi.nlm.nih.gov/26085185/', 'https://pubmed.ncbi.nlm.nih.gov/36509839/', 'https://unicarb-dr.glycosmos.org/references/352', 'https://pubmed.ncbi.nlm.nih.gov/23345451/', 'https://pubmed.ncbi.nlm.nih.gov/23345451/', 'https://doi.org/10.1093/glycob/5.3.281', 'https://pubmed.ncbi.nlm.nih.gov/38171687/', 'https://pubmed.ncbi.nlm.nih.gov/8943402/', 'https://doi.org/10.1042/bj2780505', 'https://pubmed.ncbi.nlm.nih.gov/25135641/', 'https://pubmed.ncbi.nlm.nih.gov/37005422/']","['Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Mus_musculus', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Camelus_dromedarius', 'Mustela_furo', 'Homo_sapiens', 'Danio_rerio', 'Ovis_aries', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Homo_sapiens', 'Mustela_furo', 'Homo_sapiens']","{'Hex': 4, 'HexNAc': 4, 'dHex': 1}",Complex_Fuc
